Nome entrada
Acilepdopsis echitifolia (Mart. Ex DC.) H. Rob.
Agrostis palustris Huds.
Anisea cernua Moric.
Bcopa reflexa (Benth.) Edwal
Begonia fischeri Schrank
Callisia filiformis (M.Martens & Galeotti) D.R.Hunt 
Commelina diffusa Burm.f.
Commelina obliqua Vahl
Coutoubea spicata Aubl. 
Cyperus cayennensis Willd. ex Link
Cyperus sesquiflorus (Tor.) Mattf. et Kiik 
Echinochloa colona (L.) Link
Echinodorus ranunculoides (L.) Engelm.
Eleocharis nodulosa (Roth) Schult. 
Erigeron maximus (D. Don) DC.
Eupatorium bupleurifolium DC.
Eupatorium subhastatum Hook. & Arn.
Eupatorium tremulum Hook. & Arn.
Euphorbia hirta L.
Euphorbia hyssopifolia L.
Fimbristylis diphylla (Reitz) Vahl
Gnaphalium spicatum Mill. 
Hydrolotyle pussilla A. Rich.
Hymenachne amplexicaulis (Rudge) Nees
Hypoginum virgatum (Desv) Dandy 
Hyppeastrum angustifolium Pax
Ipomoea asarifolia (Desr.) Roem. & Schult.
Justia pectoralis Jacq.
Leersia hexandra Sw.
Leptochloa fascicularis (Lam.) A. Gray 
Maicarea radula (Bonpl.) DC.
Mecardonia procumbens (Mill.) Small 
Montrichiardia linifera (Arruda) Schott
Myriophyllum elatinoides Gaud.
Neptunia plena (L.) Benth.
Oxycaryum cubense (Poepp. & Kunth) Lye 
Paspalidium geminatum (Forssk.) Stapf 
Passiflora foetida L.
Pavonia sessiliflora Kunth
Pratia hederacea (Cham.) G. Don 
Rhabdanenia pohlii Mull. Arg.
Rotala ramosior (L.) Koehne 
Roullinia montevidensis (Spr.) Malme
Sacciolepis myuros (Lam.) Chase 
Schultesia gracilis Mart. 
Scirpus americanus Pers.
Scirpus cubensis  Poepp. & Kunth 
Senna obtusifolia (L.) H.S.Irwin & Barneby
Setaria parviflora (Poir.) Kerguélen
Sporobolus indicus (L.) R.Br.
Steinchisma decipiens (Nees ex Trin.) W.V.Br. 
Stylosanthes scabra Vogel
Trichanthecium cyanenscens (Nees ex Trin.) Zuloaga & Morrone
Wollffiella oblonga (Phil.) Hegelm. 
