scientificName,kingdom,phylum,order,family,genus,species,specificEpithet,decimalLongitude,decimalLatitude,year,month,class,country,datasetName,recordedBy
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-54.831389,-22.229278,2011.0,2.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,G.S.V. Duarte
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.420414,-19.462008,2011.0,2.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,M. Rocha
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-52.085611,-20.227722,2011.0,2.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.420414,-19.462008,2011.0,2.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,M. Rocha
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.016667,-19.576444,2011.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.C. Soares
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.250556,-29.885833,2010.0,3.0,Magnoliopsida,Brazil,ICN - Herbário do Instituto de Ciências Naturais,"Trevisan, R"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.846667,-22.043333,2010.0,3.0,Magnoliopsida,Brazil,UB - Herbário da Universidade de Brasília,"Francener, A; Damasceno Júnior, GA; Andrade, MD; Padilha, DR"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-39.237639,-6.480083,2010.0,5.0,Magnoliopsida,Brazil,EAC - Herbário Prisco Bezerra,"Normando, L.R.O."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2010.0,10.0,Magnoliopsida,Brazil,HURB - Herbário do Recôncavo da Bahia,"Aona, L.Y.S.; Pereira, M.; Paixão, T."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.536833,-18.586306,2010.0,11.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,T.E. Lima
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.502917,-18.198722,2010.0,11.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,T.H. Stefanello
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2010.0,12.0,Magnoliopsida,Brazil,ICN - Herbário do Instituto de Ciências Naturais,"Grings, M"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2009.0,2.0,Magnoliopsida,Brazil,Vascular plants,B. A. Sorrie
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2009.0,4.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,R. Barbieri
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.561111,-18.576306,2009.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,B.E.M. Pinto
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.476111,-18.023917,2009.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,R.B. Rodrigues
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.558889,-18.576389,2009.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,S.C.H. Medeiros
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-59.340389,-18.483889,2009.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,S.N. Moreira
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.623333,-18.9725,2009.0,7.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,R.H. Silva
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.685306,-16.056611,2009.0,10.0,Magnoliopsida,Brazil,"HPAN - Herbário do Pantanal ""Vali Joana Pott""","Carniello, MA; Mendes, LMC; Silva, NC; Silveira, IA; Leão, DS; Silva, DR"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-44.371944,-14.253333,2008.0,1.0,Magnoliopsida,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,"Côrtes, A.L."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-52.573361,-20.121833,2008.0,2.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.623333,-18.9725,2008.0,4.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,R.H. Silva
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.028833,-19.471056,2008.0,6.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,A. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-57.018889,-19.576667,2007.0,1.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,S.V. Boff
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-55.728056,-9.471111,2007.0,6.0,Magnoliopsida,Brazil,HERBAM - Herbário da Amazônia Meridional,"Sasaki, D; Henicka, GS; Piva, JH"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-55.4339,-9.2815,2007.0,6.0,Magnoliopsida,Brazil,SPF - Herbário da Universidade de São Paulo,"Sasaki, D; Henicka, GS; Piva, JH"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-55.73,-9.47,2007.0,6.0,Magnoliopsida,Brazil,,"Piva, J.H.; Henicka, G.S.; Sasaki, D."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.008889,1.691528,2007.0,10.0,Magnoliopsida,Brazil,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,M. P. M. Menezes
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2007.0,11.0,Magnoliopsida,Brazil,ICN - Herbário do Instituto de Ciências Naturais,"Schneider, AA"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.55425,-21.307806,2007.0,12.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
