species
Justicia paludosa (S.Moore) V.A.W.Graham
Justicia anagallis (Nees) Lindau
Rhytiglossa repens Nees
Rhytiglossa obtusifolia Nees
Dianthera paludosa S.Moore
Justicia obtusifolia (Nees) Lindau
Justicia repens Nees
Rhytiglossa laevelinguis Blanch. ex Nees
Rhytiglossa anagalis Nees
